iter	Passed	Remaining
312	639	1402
313	640	1398
314	641	1393
315	642	1389
316	643	1385
317	644	1381
318	645	1379
319	647	1374
320	647	1370
321	649	1366
322	650	1362
323	651	1358
324	652	1354
325	653	1350
326	654	1346
327	655	1342
328	656	1338
329	657	1334
330	659	1332
331	660	1329
332	661	1325
333	662	1321
334	663	1317
335	664	1313
336	665	1310
337	666	1306
338	667	1302
339	669	1298
340	670	1295
341	671	1291
342	672	1287
343	673	1285
344	675	1282
345	676	1278
346	677	1275
347	678	1271
348	679	1267
349	680	1263
350	681	1260
351	682	1256
352	683	1252
353	684	1249
354	685	1245
355	686	1242
356	687	1238
357	689	1237
358	691	1234
359	692	1230
360	693	1227
361	694	1223
362	695	1220
363	696	1216
364	697	1213
365	698	1209
366	699	1206
367	700	1203
368	701	1199
369	702	1196
370	705	1195
371	706	1192
372	707	1188
373	708	1185
374	709	1182
375	710	1178
376	711	1175
377	712	1172
378	713	1168
379	714	1165
380	715	1162
381	716	1159
382	717	1155
383	719	1154
384	720	1151
385	721	1148
386	722	1145
387	723	1141
388	724	1138
389	725	1135
390	726	1132
391	727	1129
392	729	1125
393	730	1122
394	731	1119
395	732	1116
396	733	1114
397	735	1112
398	736	1109
399	737	1106
400	738	1102
401	739	1099
402	740	1096
403	741	1093
404	742	1090
405	743	1087
406	744	1084
407	745	1082
408	746	1079
409	747	1076
410	749	1074
411	751	1071
412	752	1069
413	753	1066
414	754	1063
415	755	1060
416	756	1057
417	757	1054
418	758	1052
419	759	1049
420	760	1046
421	762	1043
422	763	1041
423	765	1039
424	766	1036
425	767	1033
426	768	1031
427	769	1028
428	770	1025
429	771	1022
430	772	1019
431	773	1017
432	774	1014
433	775	1011
434	776	1008
435	778	1006
436	780	1004
437	781	1002
438	782	999
439	783	996
440	784	994
441	785	991
442	786	988
443	787	986
444	788	983
445	789	980
446	790	978
447	791	975
448	792	973
449	795	971
450	796	969
451	797	966
452	798	964
453	799	961
454	800	958
455	801	956
456	802	953
457	803	951
458	804	948
459	805	945
460	806	943
461	808	941
462	810	939
463	811	937
464	812	934
465	813	932
466	814	929
467	815	927
468	816	924
469	817	922
470	818	919
471	819	916
472	820	914
473	821	911
474	823	909
475	824	907
476	826	905
477	827	903
478	828	900
479	829	898
480	830	895
481	831	893
482	832	890
483	833	888
484	834	885
485	835	883
486	836	881
487	837	879
488	839	877
489	840	875
490	841	872
491	843	870
492	844	868
493	845	865
494	846	863
495	847	860
496	848	858
497	849	856
498	850	853
499	851	851
500	852	849
501	854	847
502	855	845
503	856	843
504	858	841
505	859	838
506	860	836
507	861	834
508	862	831
509	863	829
510	864	827
511	865	824
512	866	822
513	867	820
514	869	818
515	870	816
516	871	814
517	872	812
518	873	809
519	874	807
520	875	805
521	876	803
522	878	800
523	879	798
524	880	796
525	881	794
526	882	792
527	884	790
528	885	788
529	886	786
530	887	783
531	888	781
532	889	779
533	890	777
534	891	775
535	892	772
536	893	770
537	894	768
538	895	766
539	896	764
540	899	762
541	900	760
542	901	758
543	902	756
544	903	754
545	904	751
546	905	749
547	906	747
548	907	745
549	908	743
550	909	741
551	910	739
552	911	736
553	913	735
554	914	733
555	915	731
556	916	729
557	918	727
558	919	725
559	920	723
560	921	720
561	922	718
562	923	716
563	924	714
564	925	712
565	926	710
566	928	708
567	929	707
568	930	704
569	931	702
570	932	700
571	933	698
572	934	696
573	935	694
574	936	692
575	938	690
576	939	688
577	940	686
578	941	684
579	943	683
580	944	681
581	945	679
582	946	677
583	947	675
584	948	673
585	950	671
586	951	669
587	952	667
588	953	665
589	954	663
590	955	661
591	956	659
592	958	657
593	959	655
594	960	653
595	961	651
596	962	649
597	964	648
598	965	646
599	966	644
600	967	642
601	968	640
602	969	638
603	970	636
604	971	634
605	973	632
606	974	631
607	975	629
608	976	627
609	977	625
610	978	623
611	979	621
612	980	619
613	981	617
614	983	615
615	984	613
616	985	611
617	986	609
618	988	608
619	989	606
620	990	604
621	992	602
622	993	601
623	994	599
624	996	597
625	997	595
626	998	593
627	999	592
628	1000	590
629	1004	589
630	1006	588
631	1007	586
632	1008	584
633	1010	583
634	1011	581
635	1012	579
636	1014	577
637	1015	576
638	1017	574
639	1018	572
640	1019	571
641	1021	569
642	1022	567
643	1023	565
644	1025	564
645	1026	562
646	1027	560
647	1028	558
648	1030	557
649	1032	555
650	1033	554
651	1035	552
652	1036	550
653	1038	549
654	1039	547
655	1041	545
656	1042	544
657	1043	542
658	1044	540
659	1046	539
660	1048	537
661	1049	536
662	1051	534
663	1053	532
664	1054	531
665	1056	529
666	1058	528
667	1059	526
668	1061	525
669	1063	523
670	1064	521
671	1065	520
672	1069	519
673	1070	517
674	1072	516
675	1073	514
676	1074	512
677	1077	511
678	1078	509
679	1079	508
680	1081	506
681	1082	504
682	1083	503
683	1085	501
684	1086	499
685	1087	497
686	1089	496
687	1090	494
688	1092	493
689	1094	491
690	1096	490
691	1098	488
692	1099	487
693	1100	485
694	1102	483
695	1103	482
696	1105	480
697	1108	479
698	1109	477
699	1110	476
700	1111	474
701	1112	472
702	1114	470
703	1115	468
704	1116	467
705	1117	465
706	1119	463
707	1120	462
708	1122	460
709	1124	459
710	1125	457
711	1126	455
712	1127	453
713	1128	451
714	1129	450
715	1130	448
716	1131	446
717	1132	444
718	1134	443
719	1135	441
720	1136	439
721	1138	438
722	1139	436
723	1140	434
724	1141	433
725	1142	431
726	1144	429
727	1145	427
728	1146	426
729	1147	424
730	1148	422
731	1149	421
732	1151	419
733	1152	417
734	1154	416
735	1155	414
736	1156	412
737	1157	410
738	1158	409
739	1159	407
740	1160	405
741	1161	404
742	1163	402
743	1164	400
744	1165	398
745	1166	397
746	1167	395
747	1168	393
748	1170	392
749	1171	390
750	1173	388
751	1174	387
752	1175	385
753	1177	384
754	1178	382
755	1180	380
756	1181	379
757	1182	377
758	1184	375
759	1185	374
760	1186	372
761	1187	370
762	1188	369
763	1189	367
764	1190	365
765	1192	364
766	1193	362
767	1194	360
768	1195	359
769	1197	357
770	1198	355
771	1199	354
772	1200	352
773	1201	350
774	1202	349
775	1203	347
776	1204	345
777	1206	344
778	1207	342
779	1208	340
780	1210	339
781	1211	337
782	1212	336
783	1214	334
784	1215	332
785	1216	331
786	1217	329
787	1218	327
788	1219	326
789	1220	324
790	1221	322
791	1223	321
792	1224	319
793	1225	317
794	1226	316
795	1227	314
796	1228	313
797	1230	311
798	1231	309
799	1232	308
800	1233	306
801	1234	304
802	1235	303
803	1237	301
804	1238	299
805	1239	298
806	1240	296
807	1241	295
808	1242	293
809	1243	291
810	1245	290
811	1246	288
812	1247	286
813	1248	285
814	1249	283
815	1250	282
816	1252	280
817	1252	278
818	1253	277
819	1254	275
820	1255	273
821	1257	272
822	1258	270
823	1259	268
824	1260	267
825	1261	265
826	1262	264
827	1263	262
828	1264	260
829	1265	259
830	1266	257
831	1267	255
832	1268	254
833	1269	252
834	1270	251
835	1271	249
836	1273	247
837	1274	246
838	1275	244
839	1276	243
840	1277	241
841	1278	239
842	1279	238
843	1280	236
844	1281	235
845	1282	233
846	1283	231
847	1284	230
848	1285	228
849	1286	227
850	1288	225
851	1289	223
852	1290	222
853	1291	220
854	1292	219
855	1293	217
856	1294	216
857	1295	214
858	1296	212
859	1297	211
860	1298	209
861	1299	208
862	1300	206
863	1301	204
864	1302	203
865	1303	201
866	1304	200
867	1305	198
868	1307	197
869	1307	195
870	1309	193
871	1310	192
872	1311	190
873	1312	189
874	1313	187
875	1314	186
876	1315	184
877	1316	182
878	1317	181
879	1318	179
880	1319	178
881	1320	176
882	1321	175
883	1322	173
884	1323	172
885	1324	170
886	1326	168
887	1327	167
888	1328	165
889	1329	164
890	1330	162
891	1331	161
892	1332	159
893	1333	158
894	1334	156
895	1335	155
896	1336	153
897	1338	151
898	1339	150
899	1340	148
900	1341	147
901	1342	145
902	1343	144
903	1344	142
904	1345	141
905	1346	139
906	1348	138
907	1349	136
908	1350	135
909	1351	133
910	1352	132
911	1353	130
912	1354	129
913	1355	127
914	1356	126
915	1357	124
916	1358	122
917	1359	121
918	1360	119
919	1362	118
920	1363	116
921	1364	115
922	1365	113
923	1366	112
924	1367	110
925	1368	109
926	1369	107
927	1370	106
928	1371	104
929	1372	103
930	1373	101
931	1374	100
932	1375	98
933	1377	97
934	1378	95
935	1379	94
936	1380	92
937	1381	91
938	1382	89
939	1383	88
940	1384	86
941	1385	85
942	1386	83
943	1387	82
944	1388	80
945	1389	79
946	1390	77
947	1391	76
948	1393	74
949	1394	73
950	1395	71
951	1396	70
952	1397	68
953	1398	67
954	1400	65
955	1401	64
956	1402	62
957	1403	61
958	1404	60
959	1405	58
960	1406	57
961	1407	55
962	1408	54
963	1409	52
964	1410	51
965	1411	49
966	1412	48
967	1413	46
968	1414	45
969	1415	43
970	1416	42
971	1417	40
972	1418	39
973	1419	37
974	1420	36
975	1421	34
976	1423	33
977	1423	32
978	1425	30
979	1426	29
980	1427	27
981	1428	26
982	1429	24
983	1430	23
984	1431	21
985	1432	20
986	1433	18
987	1435	17
988	1436	15
989	1437	14
990	1438	13
991	1439	11
992	1440	10
993	1441	8
994	1442	7
995	1443	5
996	1444	4
997	1445	2
998	1446	1
999	1447	0
